Simplified,Pinyin,Level
洗,xǐ,1
洗手间,xǐshǒujiān,1
喜欢,xǐhuan,1
下,xià,1
下班,xiàbān,1
下边,xiàbian,1
下车,xià chē,1
下次,xià cì,1
下课,xiàkè,1
下午,xiàwǔ,1
下雨,xià yǔ,1
先,xiān,1
先生,xiānsheng,1
现在,xiànzài,1
想,xiǎng,1
小,xiǎo,1
小孩儿,xiǎoháir,1
小姐,xiǎojiě,1
小朋友,xiǎopéngyǒu,1
小时,xiǎoshí,1
小学,xiǎoxué,1
小学生,xiǎoxuéshēng,1
笑,xiào,1
写,xiě,1
谢谢,xièxie,1
新,xīn,1
新年,xīnnián,1
星期,xīngqī,1
星期日,xīngqīrì,1
星期天,xīngqītiān,1
行,xíng,1
休息,xiūxi,1
学,xué,1
学生,xuéshēng,1
学习,xuéxí,1
学校,xuéxiào,1
学院,xuéyuàn,1
要,yào,1
爷爷,yéye,1
也,yě,1
页,yè,1
一,yī,1
衣服,yīfu,1
医生,yīshēng,1
医院,yīyuàn,1
一半,yībàn,1
一会儿,yīhuìr,1
一块儿,yīkuàir,1
一下儿,yīxiàr,1
一样,yīyàng,1
一边,yībiān,1
一点儿,yīdiǎnr,1
一起,yīqǐ,1
一些,yīxiē,1
用,yòng,1
有,yǒu,1
有的,yǒude,1
有名,yǒumíng,1
有时候,yǒushíhou,1
有时,yǒushí,1
有些,yǒuxiē,1
有一些,yǒuyīxiē,1
有用,yǒuyòng,1
右,yòu,1
右边,yòubian,1
雨,yǔ,1
元,yuán,1
远,yuǎn,1
月,yuè,1
再,zài,1
再见,zàijiàn,1
在,zài,1
在家,zàijiā,1
早,zǎo,1
早饭,zǎofàn,1
早上,zǎoshang,1
怎么,zěnme,1
站,zhàn,1
找,zhǎo,1
找到,zhǎodào,1
这,zhè,1
这边,zhèbiān,1
这里,zhèlǐ,1
这儿,zhèr,1
这些,zhèxiē,1
着,zhe,1
真,zhēn,1
真的,zhēn de,1
正,zhèng,1
正在,zhèngzài,1
知道,zhīdào,1
知识,zhīshi,1
中,zhōng,1
中国,Zhōngguó,1
中间,zhōngjiān,1
中文,Zhōngwén,1
中午,zhōngwǔ,1
中学,zhōngxué,1
中学生,zhōngxuéshēng,1
重,zhòng,1
重要,zhòngyào,1
住,zhù,1
准备,zhǔnbèi,1
桌子,zhuōzi,1
字,zì,1
子,zi,1
桌子,zhuōzi,1
走,zǒu,1
走路,zǒulù,1
最,zuì,1
最好,zuìhǎo,1
最后,zuìhòu,1
昨天,zuótiān,1
左,zuǒ,1
左边,zuǒbian,1
坐,zuò,1
坐下,zuò xia,1
做,zuò,1
啊,a,2
爱情,àiqíng,2
爱人,àiren,2
安静,ānjìng,2
安全,ānquán,2
白色,báisè,2
班长,bānzhǎng,2
办,bàn,2
办法,bànfǎ,2
办公室,bàngōngshì,2
半夜,bànyè,2
帮助,bāngzhù,2
饱,bǎo,2
报名,bàomíng,2
报纸,bàozhǐ,2
北方,běifāng,2
背,bèi,2
比如,bǐrú,2
比如说,bǐrú shuō,2
笔,bǐ,2
笔记,bǐjì,2
笔记本,bǐjìběn,2
必须,bìxū,2
边,biān,2
变,biàn,2
变成,biànchéng,2
遍,biàn,2
表,biǎo,2
表,biǎo,2
表示,biǎoshì,2
不错,bùcuò,2
不但,bùdàn,2
不够,bùgòu,2
不过,bùguò,2
不太,bù tài,2
不要,bùyào,2
不好意思,bù hǎoyìsi,2
不久,bùjiǔ,2
不满,bùmǎn,2
不如,bùrú,2
不少,bù shǎo,2
不同,bù tóng,2
不行,bùxíng,2
不一定,bùyīdìng,2
不一会儿,bù yīhuìr,2
部分,bùfen,2
才,cái,2
菜单,càidān,2
参观,cānguān,2
参加,cānjiā,2
草,cǎo,2
草地,cǎodì,2
层,céng,2
查,chá,2
差不多,chàbuduō,2
长,cháng,2
常见,cháng jiàn,2
常用,cháng yòng,2
场,chǎng,2
超过,chāoguò,2
超市,chāoshì,2
车辆,chēliàng,2
称,chēng,2
成,chéng,2
成绩,chéngjì,2
成为,chéngwéi,2
重复,chóngfù,2
重新,chóngxīn,2
出发,chūfā,2
出国,chūguó,2
出口,chūkǒu,2
出门,chūmén,2
出生,chūshēng,2
出现,chūxiàn,2
出院,chūyuàn,2
出租,chūzū,2
出租车,chūzūchē,2
船,chuán,2
吹,chuī,2
春节,Chūnjié,2
春天,chūntiān,2
词,cí,2
词典,cídiǎn,2
词语,cíyǔ,2
从小,cóngxiǎo,2
答应,dāying,2
打工,dǎgōng,2
打算,dǎsuàn,2
打印,dǎyìn,2
大部分,dàbùfen,2
大大,dàdà,2
大多数,dàduōshù,2
大海,dàhǎi,2
大家,dàjiā,2
大量,dàliàng,2
大门,dàmén,2
大人,dàren,2
大声,dà shēng,2
大小,dàxiǎo,2
大衣,dàyī,2
大自然,dàzìrán,2
带,dài,2
带来,dàilái,2
单位,dānwèi,2
但,dàn,2
但是,dànshì,2
蛋,dàn,2
当,dāng,2
当时,dāngshí,2
倒,dǎo,2
到处,dàochù,2
倒,dào,2
道,dào,2
道理,dàolǐ,2
道路,dàolù,2
得,dé,2
得出,déchū,2
的话,dehuà,2
得,de,2
灯,dēng,2
等,děng,2
等到,děngdào,2
等于,děngyú,2
低,dī,2
地球,dìqiú,2
地铁,dìtiě,2
地铁站,dìtiězhàn,2
点头,diǎntóu,2
店,diàn,2
掉,diào,2
东北,dōngběi,2
东方,dōngfāng,2
东南,dōngnán,2
冬天,dōngtiān,2
懂,dǒng,2
懂得,dǒngde,2
动物,dòngwù,2
动物园,dòngwùyuán,2
读音,dúyīn,2
度,dù,2
短,duǎn,2
短信,duǎnxìn,2
段,duàn,2
队,duì,2
队长,duìzhǎng,2
对,duì,2
对话,duìhuà,2
对面,duìmiàn,2
多,duō,2
多久,duōjiǔ,2
多么,duōme,2
多数,duōshù,2
多云,duōyún,2
而且,érqiě,2
发,fā,2
发现,fāxiàn,2
饭馆,fànguǎn,2
方便,fāngbiàn,2
方便面,fāngbiànmiàn,2
方法,fāngfǎ,2
方面,fāngmiàn,2
方向,fāngxiàng,2
放下,fàngxia,2
放心,fàngxīn,2
分,fēn,2
分开,fēnkāi,2
分数,fēnshù,2
分钟,fēnzhōng,2
份,fèn,2
封,fēng,2
服务,fúwù,2
复习,fùxí,2
该,gāi,2
改,gǎi,2
改变,gǎibiàn,2
干杯,gānbēi,2
感到,gǎndào,2
感动,gǎndòng,2
感觉,gǎnjué,2
感谢,gǎnxiè,2
干活儿,gànhuór,2
刚,gāng,2
刚才,gāngcái,2
刚刚,gānggāng,2
高级,gāojí,2
高中,gāozhōng,2
个子,gèzi,2
更,gèng,2
公共汽车,gōnggòng qìchē,2
公交车,gōngjiāochē,2
公斤,gōngjīn,2
公里,gōnglǐ,2
公路,gōnglù,2
公平,gōngpíng,2
公司,gōngsī,2
公园,gōngyuán,2
狗,gǒu,2
够,gòu,2
故事,gùshi,2
故意,gùyì,2
顾客,gùkè,2
关机,guānjī,2
关心,guānxīn,2
观点,guāndiǎn,2
广场,guǎngchǎng,2
广告,guǎnggào,2
国际,guójì,2
过来,guòlái,2
过年,guònián,2
过去,guòqù,2
过,guo,2
海,hǎi,2
海边,hǎi biān,2
喊,hǎn,2
好,hǎo,2
好处,hǎochù,2
好多,hǎoduō,2
好久,hǎojiǔ,2
好人,hǎorén,2
好事,hǎoshì,2
好像,hǎoxiàng,2
合适,héshì,2
河,hé,2
黑,hēi,2
黑板,hēibǎn,2
黑色,hēisè,2
红,hóng,2
红色,hóngsè,2
后来,hòulái,2
忽然,hūrán,2
湖,hú,2
护照,hùzhào,2
花,huā,2
花园,huāyuán,2
画,huà,2
画家,huàjiā,2
画儿,huàr,2
坏处,huàichù,2
坏人,huàirén,2
欢迎,huānyíng,2
换,huàn,2
黄,huáng,2
黄色,huángsè,2
回,huí,2
回国,huí guó,2
会,huì,2
活动,huódòng,2
或,huò,2
或者,huòzhě,2
机会,jīhuì,2
鸡,jī,2
级,jí,2
急,jí,2
计划,jìhuà,2
计算机,jìsuànjī,2
加,jiā,2
加油,jiāyóu,2
家,jiā,2
科学家,kēxuéjiā,2
家庭,jiātíng,2
家长,jiāzhǎng,2
假,jiǎ,2
假期,jiàqī,2
检查,jiǎnchá,2
见到,jiàndào,2
见过,jiànguo,2
件,jiàn,2
健康,jiànkāng,2
讲,jiǎng,2
讲话,jiǎnghuà,2
交,jiāo,2
交给,jiāo gěi,2
交朋友,jiāo péngyou,2
交通,jiāotōng,2
角,jiǎo,2
角度,jiǎodù,2
饺子,jiǎozi,2
脚,jiǎo,2
叫作,jiàozuò,2
教师,jiàoshī,2
教室,jiàoshì,2
教学,jiàoxué,2
教育,jiàoyù,2
接,jiē,2
接到,jiēdào,2
接受,jiēshòu,2
接下来,jiē xiàlái,2
接着,jiēzhe,2
街,jiē,2
节,jié,2
节目,jiémù,2
节日,jiérì,2
结果,jiéguǒ,2
借,jiè,2
斤,jīn,2
今后,jīnhòu,2
进入,jìnrù,2
进行,jìnxíng,2
近,jìn,2
经常,jīngcháng,2
经过,jīngguò,2
经理,jīnglǐ,2
酒,jiǔ,2
酒店,jiǔdiàn,2
就要,jiùyào,2
举,jǔ,2
举手,jǔshǒu,2
举行,jǔxíng,2
句,jù,2
句子,jùzi,2
卡,kǎ,2
开机,kāijī,2
开心,kāixīn,2
开学,kāixué,2
看法,kànfǎ,2
考生,kǎoshēng,2
靠,kào,2
科,kē,2
科学,kēxué,2
可爱,kě'ài,2
可能,kěnéng,2
可怕,kěpà,2
可是,kěshì,2
可以,kěyǐ,2
克,kè,2
刻,kè,2
客人,kèrén,2
课堂,kètáng,2
空气,kōngqì,2
哭,kū,2
快餐,kuàicān,2
快点儿,kuài diǎnr,2
快乐,kuàilè,2
快要,kuàiyào,2
筷子,kuàizi,2
拉,lā,2
来自,láizì,2
蓝,lán,2
蓝色,lánsè,2
篮球,lánqiú,2
老,lǎo,2
老,lǎo,2
老王,Lǎo Wáng,2
老年,lǎonián,2
老朋友,lǎo péngyou,2
老是,lǎoshì,2
离,lí,2
离开,líkāi,2
礼物,lǐwù,2
里头,lǐtou,2
理想,lǐxiǎng,2
例如,lìrú,2
例子,lìzi,2
脸,liǎn,2
练,liàn,2
练习,liànxí,2
凉,liáng,2
凉快,liángkuai,2
两,liǎng,2
亮,liàng,2
辆,liàng,2
零下,líng xià,2
留,liú,2
留下,liúxia,2
留学生,liúxuéshēng,2
流,liú,2
流利,liúlì,2
流行,liúxíng,2
路边,lù biān,2
旅客,lǚkè,2
旅行,lǚxíng,2
旅游,lǚyóu,2
绿,lǜ,2
绿色,lǜsè,2
卖,mài,2
满,mǎn,2
满意,mǎnyì,2
猫,māo,2
米,mǐ,2
面,miàn,2
面,miàn,2
面前,miànqián,2
名,míng,2
名称,míngchēng,2
名单,míngdān,2
明星,míngxīng,2
目的,mùdì,2
拿出,náchū,2
拿到,nádào,2
那,nà,2
那会儿,nàhuìr,2
那么,nàme,2
那时候,nà shíhou,2
那时,nà shí,2
那样,nàyàng,2
南方,nánfāng,2
难过,nánguò,2
难看,nánkàn,2
难受,nánshòu,2
难题,nántí,2
难听,nántīng,2
能够,nénggòu,2
年级,niánjí,2
年轻,niánqīng,2
鸟,niǎo,2
弄,nòng,2
努力,nǔlì,2
爬,pá,2
爬山,pá shān,2
怕,pà,2
排,pái,2
排队,páiduì,2
排球,páiqiú,2
碰,pèng,2
碰到,pèngdào,2
碰见,pèngjiàn,2
篇,piān,2
便宜,piányi,2
片,piàn,2
漂亮,piàoliang,2
平,píng,2
平安,píng'ān,2
平常,píngcháng,2
平等,píngděng,2
平时,píngshí,2
瓶,píng,2
瓶子,píngzi,2
普通,pǔtōng,2
普通话,pǔtōnghuà,2
其他,qítā,2
其中,qízhōng,2
骑,qí,2
骑车,qí chē,2
起飞,qǐfēi,2
气,qì,2
气温,qìwēn,2
千,qiān,2
千克,qiānkè,2
前年,qiánnián,2
墙,qiáng,2
青年,qīngnián,2
青少年,qīng-shàonián,2
轻,qīng,2
清楚,qīngchu,2
晴,qíng,2
晴天,qíngtiān,2
请客,qǐngkè,2
请求,qǐngqiú,2
秋天,qiūtiān,2
求,qiú,2
球场,qiúchǎng,2
球队,qiúduì,2
球鞋,qiúxié,2
取,qǔ,2
取得,qǔdé,2
全,quán,2
全部,quánbù,2
全国,quánguó,2
全家,quánjiā,2
全年,quánnián,2
全身,quánshēn,2
全体,quántǐ,2
然后,ránhòu,2
让,ràng,2
热情,rèqíng,2
人口,rénkǒu,2
人们,rénmen,2
人数,rénshù,2
认为,rènwéi,2
日报,rìbào,2
日子,rìzi,2
如果,rúguǒ,2
入口,rùkǒu,2
商量,shāngliang,2
商人,shāngrén,2
上周,shàng zhōu,2
少数,shǎoshù,2
少年,shàonián,2
身边,shēnbiān,2
什么样,shénmeyàng,2
生,shēng,2
生词,shēngcí,2
生活,shēnghuó,2
声音,shēngyīn,2
省,shěng,2
省,shěng,2
十分,shífēn,2
实际,shíjì,2
实习,shíxí,2
实现,shíxiàn,2
实在,shízài,2
实在,shízai,2
食物,shíwù,2
使用,shǐyòng,2
市,shì,2
市长,shìzhǎng,2
事情,shìqing,2
收,shōu,2
收到,shōudào,2
收入,shōurù,2
手表,shǒubiǎo,2
受到,shòudào,2
舒服,shūfu,2
熟,shú,2
熟,shóu,2
数,shǔ,2
数字,shùzì,2
水平,shuǐpíng,2
顺利,shùnlì,2
说明,shuōmíng,2
司机,sījī,2
送到,sòngdào,2
送给,sòng gěi,2
算,suàn,2
虽然,suīrán,2
随便,suíbiàn,2
随时,suíshí,2
所以,suǒyǐ,2
所有,suǒyǒu,2
它,tā,2
它们,tāmen,2
太太,tàitai,2
太阳,tàiyáng,2
态度,tàidù,2
讨论,tǎolùn,2
套,tào,2
特别,tèbié,2
特点,tèdiǎn,2
疼,téng,2
提,tí,2
提出,tíchū,2
提到,tídào,2
提高,tígāo,2
题,tí,2
体育,tǐyù,2
体育场,tǐyùchǎng,2
体育馆,tǐyùguǎn,2
天上,tiānshàng,2
条,tiáo,2
条件,tiáojiàn,2
听讲,tīngjiǎng,2
听说,tīngshuō,2
停,tíng,2
停车,tíngchē,2
停车场,tíngchēchǎng,2
挺,tǐng,2
挺好,tǐng hǎo,2
通,tōng,2
通过,tōngguò,2
通知,tōngzhī,2
同时,tóngshí,2
同事,tóngshì,2
同样,tóngyàng,2
头,tóu,2
头,tou,2
里头,lǐtou,2
头发,tóufa,2
图片,túpiàn,2
推,tuī,2
腿,tuǐ,2
外地,wàidì,2
外卖,wàimài,2
完,wán,2
完成,wánchéng,2
完全,wánquán,2
晚安,wǎn'ān,2
晚报,wǎnbào,2
晚餐,wǎncān,2
晚会,wǎnhuì,2
碗,wǎn,2
万,wàn,2
网,wǎng,2
网球,wǎngqiú,2
网站,wǎngzhàn,2
往,wǎng,2
为,wèi,2
为什么,wèi shénme,2
位,wèi,2
味道,wèidào,2
喂,wèi,2
温度,wēndù,2
闻,wén,2
问路,wènlù,2
问题,wèntí,2
午餐,wǔcān,2
午睡,wǔshuì,2
西北,xīběi,2
西餐,xīcān,2
西方,xīfāng,2
西南,xīnán,2
西医,xīyī,2
习惯,xíguàn,2
洗衣机,xǐyījī,2
洗澡,xǐzǎo,2
下,xià,2
下雪,xià xuě,2
下周,xià zhōu,2
夏天,xiàtiān,2
相同,xiāngtóng,2
相信,xiāngxìn,2
响,xiǎng,2
想到,xiǎngdào,2
想法,xiǎngfǎ,2
想起,xiǎngqǐ,2
向,xiàng,2
相机,xiàngjī,2
像,xiàng,2
小,xiǎo,2
小王,Xiǎo Wáng,2
小声,xiǎo shēng,2
小时候,xiǎoshíhou,2
小说,xiǎoshuō,2
小心,xiǎoxīn,2
小组,xiǎozǔ,2
校园,xiàoyuán,2
校长,xiàozhǎng,2
笑话,xiàohua,2
笑话儿,xiàohuar,2
鞋,xié,2
心里,xīnlǐ,2
心情,xīnqíng,2
心中,xīnzhōng,2
新闻,xīnwén,2
信,xìn,2
信号,xìnhào,2
信息,xìnxī,2
信心,xìnxīn,2
信用卡,xìnyòngkǎ,2
星星,xīngxing,2
行动,xíngdòng,2
行人,xíngrén,2
行为,xíngwéi,2
姓,xìng,2
姓名,xìngmíng,2
休假,xiūjià,2
许多,xǔduō,2
选,xuǎn,2
学期,xuéqī,2
雪,xuě,2
颜色,yánsè,2
眼,yǎn,2
眼睛,yǎnjing,2
养,yǎng,2
样子,yàngzi,2
要求,yāoqiú,2
药,yào,2
药店,yàodiàn,2
药片,yàopiàn,2
药水,yàoshuǐ,2
也许,yěxǔ,2
夜,yè,2
夜里,yèlǐ,2
一部分,yī bùfen,2
一定,yīdìng,2
一共,yīgòng,2
一会儿,yīhuìr,2
一路平安,yīlù-píng'ān,2
一路顺风,yīlù-shùnfēng,2
已经,yǐjīng,2
以后,yǐhòu,2
以前,yǐqián,2
以上,yǐshàng,2
以外,yǐwài,2
以为,yǐwéi,2
以下,yǐxià,2
椅子,yǐzi,2
一般,yībān,2
一点点,yī diǎndiǎn,2
一生,yīshēng,2
一直,yīzhí,2
亿,yì,2
意见,yìjiàn,2
意思,yìsi,2
因为,yīnwèi,2
阴,yīn,2
阴天,yīntiān,2
音节,yīnjié,2
音乐,yīnyuè,2
音乐会,yīnyuèhuì,2
银行,yínháng,2
银行卡,yínhángkǎ,2
应该,yīnggāi,2
英文,Yīngwén,2
英语,Yīngyǔ,2
影片,yǐngpiàn,2
影响,yǐngxiǎng,2
永远,yǒngyuǎn,2
油,yóu,2
游客,yóukè,2
友好,yǒuhǎo,2
有空儿,yǒukòngr,2
有人,yǒu rén,2
有点儿,yǒudiǎnr,2
有一点儿,yǒuyīdiǎnr,2
有意思,yǒu yìsi,2
又,yòu,2
鱼,yú,2
语言,yǔyán,2
原来,yuánlái,2
原因,yuányīn,2
院,yuàn,2
院长,yuànzhǎng,2
院子,yuànzi,2
愿意,yuànyì,2
月份,yuèfèn,2
月亮,yuèliang,2
越,yuè,2
越来越,yuè lái yuè,2
云,yún,2
运动,yùndòng,2
咱,zán,2
咱们,zánmen,2
脏,zāng,2
早餐,zǎocān,2
早晨,zǎochen,2
早就,zǎo jiù,2
怎么办,zěnme bàn,2
怎么样,zěnmeyàng,2
怎样,zěnyàng,2
占,zhàn,2
站,zhàn,2
站住,zhànzhù,2
长,zhǎng,2
长大,zhǎngdà,2
找出,zhǎochū,2
照顾,zhàogù,2
照片,zhàopiàn,2
照相,zhàoxiàng,2
这么,zhème,2
这时候,zhè shíhou,2
这时,zhè shí,2
这样,zhèyàng,2
真正,zhēnzhèng,2
正常,zhèngcháng,2
正好,zhènghǎo,2
正确,zhèngquè,2
正是,zhèngshì,2
直接,zhíjiē,2
只,zhǐ,2
只能,zhǐ néng,2
只要,zhǐyào,2
纸,zhǐ,2
中餐,zhōngcān,2
中级,zhōngjí,2
中年,zhōngnián,2
中小学,zhōng-xiǎoxué,2
中心,zhōngxīn,2
中医,zhōngyī,2
重点,zhòngdiǎn,2
重视,zhòngshì,2
周,zhōu,2
周末,zhōumò,2
周年,zhōunián,2
主人,zhǔrén,2
主要,zhǔyào,2
住房,zhùfáng,2
住院,zhùyuàn,2
装,zhuāng,2
准确,zhǔnquè,2
自己,zìjǐ,2
自行车,zìxíngchē,2
自由,zìyóu,2
字典,zìdiǎn,2
走过,zǒuguò,2
走进,zǒujìn,2
走开,zǒukāi,2
租,zū,2
组,zǔ,2
组成,zǔchéng,2
组长,zǔzhǎng,2
嘴,zuǐ,2
最近,zuìjìn,2
作家,zuòjiā,2
作文,zuòwén,2
作业,zuòyè,2
作用,zuòyòng,2
座,zuò,2
座位,zuòwèi,2
做到,zuòdào,2
做法,zuòfǎ,2
做饭,zuòfàn,2
爱心,àixīn,3
安排,ānpái,3
安装,ānzhuāng,3
按,àn,3
按照,ànzhào,3
把,bǎ,3
把,bǎ,3
把握,bǎwò,3
白,bái,3
白菜,báicài,3
班级,bānjí,3
搬,bān,3
