Simplified,Pinyin,Level
件,jiàn,2
教室,jiào shì,2
姐姐,jiě jie,2
介绍,jiè shào,2
近,jìn,2
进,jìn,2
就,jiù,2
觉得,jué de,2
咖啡,kā fēi,2
开始,kāi shǐ,2
考试,kǎo shì,2
可能,kě néng,2
可以,kě yǐ,2
课,kè,2
快,kuài,2
快乐,kuài lè,2
累,lèi,2
离,lí,2
两,liǎng,2
零,líng,2
路,lù,2
旅游,lǚ yóu,2
卖,mài,2
慢,màn,2
忙,máng,2
每,měi,2
妹妹,mèi mei,2
门,mén,2
面条,miàn tiáo,2
男,nán,2
您,nín,2
牛奶,niú nǎi,2
女,nǚ,2
旁边,páng biān,2
跑步,pǎo bù,2
便宜,pián yi,2
票,piào,2
妻子,qī zi,2
起床,qǐ chuáng,2
千,qiān,2
铅笔,qiān bǐ,2
晴,qíng,2
去年,qù nián,2
让,ràng,2
日,rì,2
上班,shàng bān,2
身体,shēn tǐ,2
生病,shēng bìng,2
生日,shēng rì,2
时间,shí jiān,2
事情,shì qing,2
手表,shǒu biǎo,2
手机,shǒu jī,2
说话,shuō huà,2
送,sòng,2
虽然…但是…,suī rán …dàn shì …,2
它,tā,2
踢足球,tī zú qiú,2
题,tí,2
跳舞,tiào wǔ,2
外,wài,2
完,wán,2
玩,wán,2
晚上,wǎn shang,2
往,wǎng,2
为什么,wèi shén me,2
问,wèn,2
问题,wèn tí,2
希望,xī wàng,2
西瓜,xī guā,2
洗,xǐ,2
小时,xiǎo shí,2
笑,xiào,2
新,xīn,2
姓,xìng,2
休息,xiū xi,2
雪,xuě,2
颜色,yán sè,2
眼睛,yǎn jing,2
羊肉,yáng ròu,2
药,yào,2
要,yào,2
也,yě,2
一下,yī xià,2
已经,yǐ jīng,2
一起,yī qǐ,2
意思,yì si,2
因为…所以…,yīn wèi …suǒ yǐ …,2
阴,yīn,2
游泳,yóu yǒng,2
右边,yòu bian,2
鱼,yú,2
远,yuǎn,2
运动,yùn dòng,2
再,zài,2
早上,zǎo shang,2
丈夫,zhàng fu,2
找,zhǎo,2
着,zhe,2
真,zhēn,2
正在,zhèng zài,2
知道,zhī dào,2
准备,zhǔn bèi,2
走,zǒu,2
最,zuì,2
左边,zuǒ bian,2
啊,a,3
阿姨,ā yí,3
矮,ǎi,3
爱好,ài hào,3
安静,ān jìng,3
把,bǎ,3
搬,bān,3
班,bān,3
办法,bàn fǎ,3
办公室,bàn gōng shì,3
半,bàn,3
帮忙,bāng máng,3
包,bāo,3
饱,bǎo,3
北方,běi fāng,3
被,bèi,3
鼻子,bí zi,3
比较,bǐ jiào,3
比赛,bǐ sài,3
笔记本,bǐ jì běn,3
必须,bì xū,3
变化,biàn huà,3
别人,bié rén,3
冰箱,bīng xiāng,3
不但…而且…,bù dàn …ér qiě …,3
菜单,cài dān,3
参加,cān jiā,3
草,cǎo,3
层,céng,3
差,chà,3
超市,chāo shì,3
衬衫,chèn shān,3
城市,chéng shì,3
成绩,chéng jì,3
迟到,chí dào,3
除了,chú le,3
船,chuán,3
春,chūn,3
词典,cí diǎn,3
聪明,cōng ming,3
打扫,dǎ sǎo,3
打算,dǎ suàn,3
带,dài,3
担心,dān xīn,3
蛋糕,dàn gāo,3
当然,dāng rán,3
地,de,3
灯,dēng,3
地方,dì fang,3
地铁,dì tiě,3
地图,dì tú,3
电梯,diàn tī,3
电子邮件,diàn zǐ yóu jiàn,3
东,dōng,3
冬,dōng,3
动物,dòng wù,3
短,duǎn,3
段,duàn,3
锻炼,duàn liàn,3
多么,duō me,3
饿,è a,3
耳朵,ěr duo,3
发,fā,3
发烧,fā shāo,3
发现,fā xiàn,3
方便,fāng biàn,3
放,fàng,3
放心,fàng xīn,3
分,fēn,3
复习,fù xí,3
附近,fù jìn,3
干净,gān jìng,3
感冒,gǎn mào,3
感兴趣,gǎn xìng qù,3
刚才,gāng cái,3
个子,gè zi,3
根据,gēn jù,3
跟,gēn,3
更,gèng,3
公斤,gōng jīn,3
公园,gōng yuán,3
故事,gù shi,3
刮风,guā fēng,3
关,guān,3
关系,guān xì,3
关心,guān xīn,3
关于,guān yú,3
国家,guó jiā,3
过去,guò qu,3
还是,hái shì,3
害怕,hài pà,3
黑板,hēi bǎn,3
后来,hòu lái,3
护照,hù zhào,3
花,huā,3
画,huà,3
坏,huài,3
欢迎,huān yíng,3
环境,huán jìng,3
换,huàn,3
黄河,huáng hé,3
回答,huí dá,3
会议,huì yì,3
或者,huò zhě,3
几乎,jī hū,3
机会,jī huì,3
极,jí,3
季节,jì jié,3
记得,jì de,3
检查,jiǎn chá,3
简单,jiǎn dān,3
健康,jiàn kāng,3
见面,jiàn miàn,3
讲,jiǎng,3
教,jiào,3
脚,jiǎo,3
角,jiǎo,3
接,jiē,3
街道,jiē dào,3
结婚,jié hūn,3
结束,jié shù,3
节目,jié mù,3
节日,jié rì,3
解决,jiě jué,3
借,jiè,3
经常,jīng cháng,3
经过,jīng guò,3
经理,jīng lǐ,3
久,jiǔ,3
旧,jiù,3
句子,jù zi,3
决定,jué dìng,3
可爱,kě ài,3
渴,kě,3
刻,kè,3
客人,kè rén,3
空调,kōng tiáo,3
口,kǒu,3
哭,kū,3
裤子,kù zi,3
筷子,kuài zi,3
蓝,lán,3
老,lǎo,3
离开,lí kāi,3
礼物,lǐ wù,3
历史,lì shǐ,3
脸,liǎn,3
练习,liàn xí,3
辆,liàng,3
聊天,liáo tiān,3
了解,liǎo jiě,3
邻居,lín jū,3
留学,liú xué,3
楼,lóu,3
绿,lǜ,3
马,mǎ,3
马上,mǎ shàng,3
满意,mǎn yì,3
帽子,mào zi,3
米,mǐ,3
面包,miàn bāo,3
明白,míng bai,3
拿,ná,3
奶奶,nǎi nai,3
南,nán,3
难,nán,3
难过,nán guò,3
年级,nián jí,3
年轻,nián qīng,3
鸟,niǎo,3
努力,nǔ lì,3
爬山,pá shān,3
盘子,pán zi,3
胖,pàng,3
啤酒,pí jiǔ,3
皮鞋,pí xié,3
瓶子,píng zi,3
其实,qí shí,3
其他,qí tā,3
奇怪,qí guài,3
骑,qí,3
起飞,qǐ fēi,3
起来,qǐ lái,3
清楚,qīng chu,3
请假,qǐng jià,3
秋,qiū,3
裙子,qún zi,3
然后,rán hòu,3
热情,rè qíng,3
认为,rèn wéi,3
认真,rèn zhēn,3
容易,róng yì,3
如果,rú guǒ,3
伞,sǎn,3
上网,shàng wǎng,3
声音,shēng yīn,3
生气,shēng qì,3
世界,shì jiè,3
试,shì,3
瘦,shòu,3
叔叔,shū shu,3
舒服,shū fu,3
数学,shù xué,3
树,shù,3
刷牙,shuā yá,3
双,shuāng,3
水平,shuǐ píng,3
司机,sī jī,3
太阳,tài yáng,3
特别,tè bié,3
疼,téng,3
提高,tí gāo,3
体育,tǐ yù,3
甜,tián,3
条,tiáo,3
同事,tóng shì,3
同意,tóng yì,3
头发,tóu fa,3
突然,tū rán,3
图书馆,tú shū guǎn,3
腿,tuǐ,3
完成,wán chéng,3
碗,wǎn,3
万,wàn,3
忘记,wàng jì,3
为,wèi,3
为了,wèi le,3
位,wèi,3
文化,wén huà,3
西,xī,3
习惯,xí guàn,3
洗手间,xǐ shǒu jiān,3
洗澡,xǐ zǎo,3
夏,xià,3
先,xiān,3
相信,xiāng xìn,3
香蕉,xiāng jiāo,3
像,xiàng,3
向,xiàng,3
小心,xiǎo xīn,3
校长,xiào zhǎng,3
新闻,xīn wén,3
新鲜,xīn xiān,3
信用卡,xìn yòng kǎ,3
行李箱,xíng lǐ xiāng,3
熊猫,xióng māo,3
需要,xū yào,3
选择,xuǎn zé,3
要求,yāo qiú,3
爷爷,yé ye,3
一直,yī zhí,3
一定,yí dìng,3
一共,yī gòng,3
一会儿,yī huì er,3
一样,yī yàng,3
以前,yǐ qián,3
一般,yī bān,3
一边,yī biān,3
音乐,yīn yuè,3
银行,yín háng,3
饮料,yǐn liào,3
应该,yīng gāi,3
影响,yǐng xiǎng,3
用,yòng,3
游戏,yóu xì,3
有名,yǒu míng,3
又,yòu,3
遇到,yù dào,3
元,yuán,3
愿意,yuàn yì,3
月亮,yuè liang,3
越,yuè,3
站,zhàn,3
张,zhāng,3
着急,zháo jí,3
照顾,zhào gu,3
照片,zhào piàn,3
照相机,zhào xiàng jī,3
只,zhǐ,3
只有…才…,zhǐ yǒu …cái …,3
中间,zhōng jiān,3
中文,zhōng wén,3
终于,zhōng yú,3
种,zhǒng,3
重要,zhòng yào,3
周末,zhōu mò,3
主要,zhǔ yào,3
注意,zhù yì,3
自己,zì jǐ,3
自行车,zì xíng chē,3
总是,zǒng shì,3
嘴,zuǐ,3
最后,zuì hòu,3
最近,zuì jìn,3
作业,zuò yè,3
爱情,ài qíng,4
安排,ān pái,4
安全,ān quán,4
按时,àn shí,4
按照,àn zhào,4
百分之,bǎi fēn zhī,4
棒,bàng,4
包子,bāo zi,4
保护,bǎo hù,4
保证,bǎo zhèng,4
报名,bào míng,4
抱,bào,4
抱歉,bào qiàn,4
倍,bèi,4
本来,běn lái,4
笨,bèn,4
比如,bǐ rú,4
毕业,bì yè,4
遍,biàn,4
标准,biāo zhǔn,4
表格,biǎo gé,4
表示,biǎo shì,4
表演,biǎo yǎn,4
表扬,biǎo yáng,4
饼干,bǐng gān,4
并且,bìng qiě,4
博士,bó shì,4
不过,bú guò,4
不得不,bù dé bù,4
不管,bù guǎn,4
不仅,bù jǐn,4
部分,bù fen,4
擦,cā,4
猜,cāi,4
材料,cái liào,4
参观,cān guān,4
餐厅,cān tīng,4
厕所,cè suǒ,4
差不多,chà bu duō,4
尝,cháng,4
长城,cháng chéng,4
长江,cháng jiāng,4
场,chǎng,4
超过,chāo guò,4
乘坐,chéng zuò,4
成功,chéng gōng,4
成为,chéng wéi,4
诚实,chéng shí,4
吃惊,chī jīng,4
重新,chóng xīn,4
抽烟,chōu yān,4
出差,chū chāi,4
出发,chū fā,4
出生,chū shēng,4
出现,chū xiàn,4
厨房,chú fáng,4
传真,chuán zhēn,4
窗户,chuāng hu,4
词语,cí yǔ,4
从来,cóng lái,4
粗心,cū xīn,4
存,cún,4
错误,cuò wù,4
答案,dá àn,4
打扮,dǎ ban,4
打扰,dǎ rǎo,4
打印,dǎ yìn,4
打招呼,dǎ zhāo hu,4
打折,dǎ zhé,4
打针,dǎ zhēn,4
大概,dà gài,4
大使馆,dà shǐ guǎn,4
大约,dà yuē,4
大夫,dài fu,4
戴,dài,4
当,dāng,4
当时,dāng shí,4
刀,dāo,4
导游,dǎo yóu,4
倒,dào,4
到处,dào chù,4
到底,dào dǐ,4
道歉,dào qiàn,4
得意,dé yì,4
登机牌,dēng jī pái,4
低,dī,4
底,dǐ,4
地点,dì diǎn,4
地球,dì qiú,4
地址,dì zhǐ,4
掉,diào,4
调查,diào chá,4
丢,diū,4
动作,dòng zuò,4
堵车,dǔ chē,4
肚子,dù zi,4
短信,duǎn xìn,4
对话,duì huà,4
对面,duì miàn,4
对于,duì yú,4
儿童,ér tóng,4
而,ér,4
发生,fā shēng,4
发展,fā zhǎn,4
法律,fǎ lǜ,4
翻译,fān yì,4
烦恼,fán nǎo,4
反对,fǎn duì,4
方法,fāng fǎ,4
方面,fāng miàn,4
方向,fāng xiàng,4
房东,fáng dōng,4
放弃,fàng qì,4
放暑假,fàng shǔ jià,4
放松,fàng sōng,4
份,fèn,4
丰富,fēng fù,4
否则,fǒu zé,4
符合,fú hé,4
付款,fù kuǎn,4
复印,fù yìn,4
复杂,fù zá,4
富,fù,4
父亲,fù qīn,4
负责,fù zé,4
改变,gǎi biàn,4
干杯,gān bēi,4
感动,gǎn dòng,4
感觉,gǎn jué,4
感情,gǎn qíng,4
感谢,gǎn xiè,4
敢,gǎn,4
赶,gǎn,4
干,gàn,4
刚,gāng,4
高速公路,gāo sù gōng lù,4
胳膊,gē bo,4
各,gè,4
公里,gōng lǐ,4
功夫,gōng fu,4
工资,gōng zī,4
共同,gòng tóng,4
够,gòu,4
购物,gòu wù,4
估计,gū jì,4
鼓励,gǔ lì,4
故意,gù yì,4
顾客,gù kè,4
挂,guà,4
关键,guān jiàn,4
观众,guān zhòng,4
管理,guǎn lǐ,4
光,guāng,4
广播,guǎng bō,4
广告,guǎng gào,4
逛,guàng,4
规定,guī dìng,4
国籍,guó jí,4
国际,guó jì,4
果汁,guǒ zhī,4
过程,guò chéng,4
海洋,hǎi yáng,4
害羞,hài xiū,4
寒假,hán jià,4
汗,hàn,4
航班,háng bān,4
好处,hǎo chu,4
好像,hǎo xiàng,4
号码,hào mǎ,4
合格,hé gé,4
合适,hé shì,4
盒子,hé zi,4
厚,hòu,4
后悔,hòu huǐ,4
互联网,hù lián wǎng,4
互相,hù xiāng,4
护士,hù shi,4
怀疑,huái yí,4
回忆,huí yì,4
活动,huó dòng,4
活泼,huó po,4
火,huǒ,4
获得,huò dé,4
基础,jī chǔ,4
激动,jī dòng,4
积极,jī jí,4
积累,jī lěi,4
即使,jí shǐ,4
及时,jí shí,4
寄,jì,4
技术,jì shù,4
既然,jì rán,4
继续,jì xù,4
计划,jì huà,4
记者,jì zhě,4
加班,jiā bān,4
加油站,jiā yóu zhàn,4
家具,jiā jù,4
假,jiǎ,4
价格,jià gé,4
坚持,jiān chí,4
减肥,jiǎn féi,4
减少,jiǎn shǎo,4
建议,jiàn yì,4
将来,jiāng lái,4
奖金,jiǎng jīn,4
降低,jiàng dī,4
降落,jiàng luò,4
交,jiāo,4
交流,jiāo liú,4
交通,jiāo tōng,4
郊区,jiāo qū,4
骄傲,jiāo ào,4
饺子,jiǎo zi,4
教授,jiào shòu,4
教育,jiào yù,4
接受,jiē shòu,4
接着,jiē zhe,4
结果,jié guǒ,4
节,jié,4
节约,jié yuē,4
解释,jiě shì,4
尽管,jǐn guǎn,4
紧张,jǐn zhāng,4
禁止,jìn zhǐ,4
进行,jìn xíng,4
京剧,jīng jù,4
精彩,jīng cǎi,4
经济,jīng jì,4
经历,jīng lì,4
经验,jīng yàn,4
景色,jǐng sè,4
警察,jǐng chá,4
竞争,jìng zhēng,4
竟然,jìng rán,4
镜子,jìng zi,4
究竟,jiū jìng,4
举,jǔ,4
举办,jǔ bàn,4
举行,jǔ xíng,4
拒绝,jù jué,4
聚会,jù huì,4
距离,jù lí,4
开玩笑,kāi wán xiào,4
开心,kāi xīn,4
看法,kàn fǎ,4
烤鸭,kǎo yā,4
考虑,kǎo lǜ,4
棵,kē,4
科学,kē xué,4
咳嗽,ké sou,4
可怜,kě lián,4
可是,kě shì,4
可惜,kě xī,4
客厅,kè tīng,4
肯定,kěn dìng,4
空,kōng,4
空气,kōng qì,4
恐怕,kǒng pà,4
苦,kǔ,4
矿泉水,kuàng quán shuǐ,4
困,kùn,4
困难,kùn nan,4
垃圾桶,lā jī tǒng,4
拉,lā,4
辣,là,4
来不及,lái bu jí,4
来得及,lái de jí,4
来自,lái zì,4
懒,lǎn,4
浪费,làng fèi,4
浪漫,làng màn,4
老虎,lǎo hǔ,4
冷静,lěng jìng,4
理发,lǐ fà,4
理解,lǐ jiě,4
理想,lǐ xiǎng,4
礼拜天,lǐ bài tiān,4
礼貌,lǐ mào,4
例如,lì rú,4
力气,lì qi,4
厉害,lì hai,4
俩,liǎ,4
联系,lián xì,4
连,lián,4
凉快,liáng kuai,4
零钱,líng qián,4
另外,lìng wài,4
流利,liú lì,4
流行,liú xíng,4
留,liú,4
旅行,lǚ xíng,4
乱,luàn,4
律师,lǜ shī,4
麻烦,má fan,4
马虎,mǎ hu,4
满,mǎn,4
毛,máo,4
毛巾,máo jīn,4
美丽,měi lì,4
梦,mèng,4
迷路,mí lù,4
密码,mì mǎ,4
免费,miǎn fèi,4
秒,miǎo,4
民族,mín zú,4
母亲,mǔ qīn,4
目的,mù dì,4
耐心,nài xīn,4
难道,nán dào,4
难受,nán shòu,4
内,nèi,4
内容,nèi róng,4
能力,néng lì,4
年龄,nián líng,4
弄,nòng,4
暖和,nuǎn huo,4
偶尔,ǒu ěr,4
排队,pái duì,4
排列,pái liè,4
判断,pàn duàn,4
陪,péi,4
批评,pī píng,4
皮肤,pí fū,4
脾气,pí qi,4
篇,piān,4
骗,piàn,4
乒乓球,pīng pāng qiú,4
平时,píng shí,4
破,pò,4
葡萄,pú tao,4
普遍,pǔ biàn,4
普通话,pǔ tōng huà,4
其次,qí cì,4
其中,qí zhōng,4
气候,qì hòu,4
千万,qiān wàn,4
签证,qiān zhèng,4
敲,qiāo,4
桥,qiáo,4
巧克力,qiǎo kè lì,4
亲戚,qīn qi,4
轻,qīng,4
轻松,qīng sōng,4
情况,qíng kuàng,4
穷,qióng,4
区别,qū bié,4
取,qǔ,4
全部,quán bù,4
缺点,quē diǎn,4
缺少,quē shǎo,4
却,què,4
确实,què shí,4
然而,rán ér,4
热闹,rè nao,4
任何,rèn hé,4
任务,rèn wu,4
扔,rēng,4
仍然,réng rán,4
日记,rì jì,4
入口,rù kǒu,4
散步,sàn bù,4
森林,sēn lín,4
沙发,shā fā,4
伤心,shāng xīn,4
商量,shāng liang,4
稍微,shāo wēi,4
勺子,sháo zi,4
社会,shè huì,4
深,shēn,4
申请,shēn qǐng,4
甚至,shèn zhì,4
生活,shēng huó,4
生命,shēng mìng,4
生意,shēng yì,4
省,shěng,4
剩,shèng,4
失败,shī bài,4
失望,shī wàng,4
师傅,shī fu,4
十分,shí fēn,4
实际,shí jì,4
实在,shí zài,4
使,shǐ,4
使用,shǐ yòng,4
世纪,shì jì,4
是否,shì fǒu,4
适合,shì hé,4
适应,shì yìng,4
收,shōu,4
收入,shōu rù,4
收拾,shōu shi,4
首都,shǒu dū,4
首先,shǒu xiān,4
受不了,shòu bù liǎo,4
受到,shòu dào,4
售货员,shòu huò yuán,4
输,shū,4
熟悉,shú xī,4
数量,shù liàng,4
数字,shù zì,4
帅,shuài,4
顺便,shùn biàn,4
顺利,shùn lì,4
顺序,shùn xù,4
说明,shuō míng,4
硕士,shuò shì,4
死,sǐ,4
塑料袋,sù liào dài,4
速度,sù dù,4
酸,suān,4
随便,suí biàn,4
随着,suí zhe,4
孙子,sūn zi,4
所有,suǒ yǒu,4
台,tái,4
抬,tái,4
态度,tài du,4
弹钢琴,tán gāng qín,4
谈,tán,4
汤,tāng,4
糖,táng,4
躺,tǎng,4
趟,tàng,4
讨论,tǎo lùn,4
讨厌,tǎo yàn,4
特点,tè diǎn,4
提,tí,4
提供,tí gōng,4
提前,tí qián,4
提醒,tí xǐng,4
填空,tián kòng,4
条件,tiáo jiàn,4
停,tíng,4
挺,tǐng,4
通过,tōng guò,4
通知,tōng zhī,4
同情,tóng qíng,4
同时,tóng shí,4
推,tuī,4
推迟,tuī chí,4
脱,tuō,4
袜子,wà zi,4
完全,wán quán,4
往往,wǎng wǎng,4
网球,wǎng qiú,4
网站,wǎng zhàn,4
危险,wēi xiǎn,4
卫生间,wèi shēng jiān,4
味道,wèi dào,4
温度,wēn dù,4
文章,wén zhāng,4
污染,wū rǎn,4
无,wú,4
无聊,wú liáo,4
无论,wú lùn,4
误会,wù huì,4
吸引,xī yǐn,4
西红柿,xī hóng shì,4
咸,xián,4
现金,xiàn jīn,4
羡慕,xiàn mù,4
相反,xiāng fǎn,4
相同,xiāng tóng,4
香,xiāng,4
详细,xiáng xì,4
响,xiǎng,4
橡皮,xiàng pí,4
消息,xiāo xi,4
小吃,xiǎo chī,4
小伙子,xiǎo huǒ zi,4
小说,xiǎo shuō,4
效果,xiào guǒ,4
笑话,xiào huà,4
心情,xīn qíng,4
辛苦,xīn kǔ,4
信封,xìn fēng,4
信息,xìn xī,4
信心,xìn xīn,4
兴奋,xīng fèn,4
行,xíng,4
醒,xǐng,4
幸福,xìng fú,4
性别,xìng bié,4
性格,xìng gé,4
修理,xiū lǐ,4
许多,xǔ duō,4
学期,xué qī,4
呀,ya,4
压力,yā lì,4
牙膏,yá gāo,4
亚洲,yà zhōu,4
严格,yán gé,4
严重,yán zhòng,4
盐,yán,4
研究,yán jiū,4
演出,yǎn chū,4
演员,yǎn yuán,4
眼镜,yǎn jìng,4
阳光,yáng guāng,4
养成,yǎng chéng,4
样子,yàng zi,4
邀请,yāo qǐng,4
要是,yào shi,4
钥匙,yào shi,4
也许,yě xǔ,4
叶子,yè zi,4
页,yè,4
一切,yī qiè,4
以,yǐ,4
以为,yǐ wéi,4
意见,yì jiàn,4
艺术,yì shù,4
因此,yīn cǐ,4
引起,yǐn qǐ,4
印象,yìn xiàng,4
赢,yíng,4
应聘,yìng pìn,4
勇敢,yǒng gǎn,4
永远,yǒng yuǎn,4
优点,yōu diǎn,4
优秀,yōu xiù,4
幽默,yōu mò,4
尤其,yóu qí,4
由,yóu,4
由于,yóu yú,4
邮局,yóu jú,4
友好,yǒu hǎo,4
友谊,yǒu yì,4
有趣,yǒu qù,4
于是,yú shì,4
愉快,yú kuài,4
与,yǔ,4
羽毛球,yǔ máo qiú,4
语法,yǔ fǎ,4
语言,yǔ yán,4
预习,yù xí,4
原来,yuán lái,4
原谅,yuán liàng,4
原因,yuán yīn,4
约会,yuē huì,4
阅读,yuè dú,4
云,yún,4
允许,yǔn xǔ,4
杂志,zá zhì,4
咱们,zán men,4
暂时,zàn shí,4
脏,zāng,4
责任,zé rèn,4
增加,zēng jiā,4
占线,zhàn xiàn,4
招聘,zhāo pìn,4
照,zhào,4
真正,zhēn zhèng,4
整理,zhěng lǐ,4
正常,zhèng cháng,4
正好,zhèng hǎo,4
正确,zhèng què,4
正式,zhèng shì,4
证明,zhèng míng,4
之,zhī,4
支持,zhī chí,4
知识,zhī shi,4
值得,zhí de,4
植物,zhí wù,4
直接,zhí jiē,4
职业,zhí yè,4
只好,zhǐ hǎo,4
只要,zhǐ yào,4
指,zhǐ,4
至少,zhì shǎo,4
质量,zhì liàng,4
重,zhòng,4
重点,zhòng diǎn,4
重视,zhòng shì,4
周围,zhōu wéi,4
主意,zhǔ yi,4
祝贺,zhù hè,4
著名,zhù míng,4
专门,zhuān mén,4
专业,zhuān yè,4
转,zhuǎn,4
赚,zhuàn,4
准确,zhǔn què,4
准时,zhǔn shí,4
仔细,zǐ xì,4
自然,zì rán,4
自信,zì xìn,4
总结,zǒng jié,4
租,zū,4
最好,zuì hǎo,4
尊重,zūn zhòng,4
左右,zuǒ yòu,4
作家,zuò jiā,4
作用,zuò yòng,4
作者,zuò zhě,4
座,zuò,4
座位,zuò wèi,4
哎,āi,5
唉,āi,5
爱护,ài hù,5
爱惜,ài xī,5
爱心,ài xīn,5
安慰,ān wèi,5
安装,ān zhuāng,5
岸,àn,5
暗,àn,5
熬夜,áo yè,5
把握,bǎ wò,5
摆,bǎi,5
办理,bàn lǐ,5
傍晚,bàng wǎn,5
包裹,bāo guǒ,5
包含,bāo hán,5
包括,bāo kuò,5
薄,báo,5
保持,bǎo chí,5
保存,bǎo cún,5
保留,bǎo liú,5
保险,bǎo xiǎn,5
宝贝,bǎo bèi,5
宝贵,bǎo guì,5
报到,bào dào,5
报道,bào dào,5
报告,bào gào,5
报社,bào shè,5
抱怨,bào yuàn,5
悲观,bēi guān,5
背,bèi,5
背景,bèi jǐng,5
被子,bèi zi,5
本科,běn kē,5
本领,běn lǐng,5
本质,běn zhì,5
彼此,bǐ cǐ,5
比例,bǐ lì,5
必然,bì rán,5
必要,bì yào,5
毕竟,bì jìng,5
避免,bì miǎn,5
编辑,biān jí,5
鞭炮,biān pào,5
便,biàn,5
辩论,biàn lùn,5
标点,biāo diǎn,5
标志,biāo zhì,5
表达,biǎo dá,5
表面,biǎo miàn,5
表明,biǎo míng,5
表情,biǎo qíng,5
表现,biǎo xiàn,5
冰激凌,bīng jī líng,5
病毒,bìng dú,5
播放,bō fàng,5
玻璃,bō li,5
博物馆,bó wù guǎn,5
脖子,bó zi,5
不断,bú duàn,5
不见得,bú jiàn de,5
不耐烦,bú nài fán,5
不要紧,bú yào jǐn,5
补充,bǔ chōng,5
不安,bù ān,5
不得了,bù dé liǎo,5
不然,bù rán,5
不如,bù rú,5
