,Simplified,Pinyin,English,Level,Part of Speech,No.
153,女朋友,nǚpéngyou,girlfriend,1,,
154,女士,nǚshì,lady; Ms.,1,,
155,朋友,péngyou,friend,1,,
156,便宜,piányi,cheap,1,,
157,漂亮,piàoliang,beautiful,1,,
158,苹果,píngguǒ,apple,1,,
159,七,qī,seven,1,,
160,起床,qǐchuáng,to get up,1,,
161,千,qiān,thousand,1,,
162,前,qián,front; before,1,,
163,钱,qián,money,1,,
164,请,qǐng,please,1,,
165,请问,qǐngwèn,may I ask,1,,
166,去,qù,to go,1,,
167,去年,qùnián,last year,1,,
168,热,rè,hot,1,,
169,人,rén,person,1,,
170,认识,rènshi,to know; to recognize,1,,
171,日,rì,measure word for days; (sun),1,,
172,三,sān,three,1,,
173,商店,shāngdiàn,store; shop,1,,
174,上,shàng,up; above; to go up,1,,
175,上班,shàngbān,to go to work,1,,
176,上课,shàngkè,to attend class,1,,
177,上午,shàngwǔ,morning,1,,
178,上学,shàngxué,to go to school,1,,
179,少,shǎo,few; little; to lack,1,,
180,谁,shéi/shuí,who,1,,
181,什么,shénme,what,1,,
182,生病,shēngbìng,to get sick,1,,
183,十,shí,ten,1,,
184,时候,shíhou,moment; time,1,,
185,时间,shíjiān,time,1,,
186,事,shì,matter; thing,1,,
187,是,shì,to be,1,,
188,手机,shǒujī,cell phone,1,,
189,书,shū,book,1,,
190,书店,shūdiàn,bookstore,1,,
191,水,shuǐ,water,1,,
192,水果,shuǐguǒ,fruit,1,,
193,睡,shuì,to sleep,1,,
194,睡觉,shuìjiào,to sleep,1,,
195,说,shuō,to speak; to say,1,,
196,说话,shuōhuà,to talk,1,,
197,四,sì,four,1,,
198,岁,suì,measure word for age,1,,
199,他,tā,he; him,1,,
200,它,tā,it,1,,
201,她,tā,she,1,,
202,他们,tāmen,they,1,,
203,它们,tāmen,they,1,,
204,她们,tāmen,they,1,,
205,太,tài,too; extremely,1,,
206,天,tiān,day; measure word for days,1,,
207,天气,tiānqì,weather,1,,
208,听,tīng,to listen,1,,
209,听见,tīngjiàn,to hear,1,,
210,同学,tóngxué,classmate,1,,
211,外,wài,outside; exterior,1,,
212,外边,wàibian,outside,1,,
213,玩,wán,to play,1,,
214,晚,wǎn,late,1,,
215,晚饭,wǎnfàn,dinner,1,,
216,晚上,wǎnshang,evening,1,,
217,喂,wèi,hello used when answering the phone),1,,
218,问,wèn,to ask,1,,
219,问题,wèntí,question,1,,
220,我,wǒ,I,1,,
221,我们,wǒmen,we,1,,
222,五,wǔ,five,1,,
223,午饭,wǔfàn,lunch,1,,
224,喜欢,xǐhuan,to like,1,,
225,下,xià,down; below; to go down; measure word for times,1,,
226,下雨,xià yǔ,to rain,1,,
227,下班,xiàbān,to get off work,1,,
228,下课,xiàkè,to finish class,1,,
229,下午,xiàwǔ,afternoon,1,,
230,先生,xiānsheng,Mr.; husband,1,,
231,现在,xiànzài,now,1,,
232,想,xiǎng,to think; to want,1,,
233,小,xiǎo,small; prefix indicating small size or endearment,1,,
234,小朋友,xiǎopéngyǒu,little friend; child,1,,
235,小时,xiǎoshí,hour,1,,
236,小学,xiǎoxué,primary school,1,,
237,小学生,xiǎoxuéshēng,primary school student,1,,
238,些,xiē,measure word for an indefinite amount,1,,
239,写,xiě,to write,1,,
240,谢谢,xièxie,to thank,1,,
241,新,xīn,new,1,,
242,星期,xīngqī,week,1,,
243,星期日,xīngqīrì,Sunday,1,,
244,星期天,xīngqītiān,Sunday,1,,
245,休息,xiūxi,to rest,1,,
246,学,xué,to learn; to study,1,,
247,学生,xuéshēng,student,1,,
248,学习,xuéxí,to study,1,,
249,学校,xuéxiào,school,1,,
250,雪,xuě,snow,1,,
251,要,yào,to want; to need,1,,
252,也,yě,also; too,1,,
253,一,yī,one,1,,
254,衣服,yīfu,clothes,1,,
255,医生,yīshēng,doctor,1,,
256,医院,yīyuàn,hospital,1,,
257,一半,yíbàn,half,1,,
258,一下,yíxià,once; a little; (in a short while),1,,
259,椅子,yǐzi,chair,1,,
260,一点儿,yìdiǎnr,a little; a bit,1,,
261,一些,yìxiē,some; a few,1,,
262,有,yǒu,to have; to exist,1,,
263,有的,yǒude,some of them,1,,
264,有点儿,yǒudiǎnr,a little; slightly,1,,
265,有些,yǒuxiē,some; some of; (somewhat; rather),1,,
266,雨,yǔ,rain,1,,
267,元,yuán,yuan,1,,
268,月,yuè,month; moon,1,,
269,再,zài,again; then,1,,
270,在,zài,to be at; at; in the middle of,1,,
271,再见,zàijiàn,goodbye,1,,
272,早,zǎo,early,1,,
273,早饭,zǎofàn,breakfast,1,,
274,早上,zǎoshang,morning,1,,
275,怎么,zěnme,how,1,,
276,怎么样,zěnmeyàng,how about; what do you think,1,,
277,找,zhǎo,to look for,1,,
278,这,zhè,this,1,,
279,这边,zhèbiān,here,1,,
280,这个,zhège,this one,1,,
281,这里,zhèlǐ,here,1,,
282,这儿,zhèr,here,1,,
283,这些,zhèxiē,these,1,,
284,真,zhēn,really; (true),1,,
285,正在,zhèngzài,in the process of,1,,
286,只,zhī,measure word for animals; one of a pair,1,,
287,知道,zhīdào,to know,1,,
288,中国,Zhōngguó,China,1,,
289,中文,Zhōngwén,Chinese language,1,,
290,中午,zhōngwǔ,noon,1,,
291,中学,zhōngxué,middle school,1,,
292,中学生,zhōngxuéshēng,middle school student,1,,
293,住,zhù,to live; to reside,1,,
294,桌子,zhuōzi,table; desk,1,,
295,字,zì,character; script,1,,
296,昨天,zuótiān,yesterday,1,,
297,坐,zuò,to sit,1,,
298,做,zuò,to do; to make,1,,
299,做饭,zuò fàn,to cook,1,,
300,啊,a,ah; oh,2,,
301,爱好,àihào,to like; hobby,2,,
302,白色,báisè,white,2,,
303,班,bān,class; team; (measure word for groups),2,,
304,帮,bāng,to help,2,,
305,帮忙,bāngmáng,to help,2,,
306,包,bāo,to wrap; to pack; bag; measure word for bundles,2,,
307,本子,běnzi,notebook,2,,
308,比,bǐ,to compare; than,2,,
309,笔,bǐ,pen; (measure word for writing tools),2,,
310,别,bié,don’t; not bad,2,,
311,不错,búcuò,not bad; pretty good,2,,
312,不好意思,bù hǎoyìsi,sorry; embarrassed,2,,
313,长,cháng,long,2,,
314,车站,chēzhàn,station,2,,
315,出,chū,to go out; to leave,2,,
316,出国,chūguó,to go abroad,2,,
317,出来,chūlái,to come out,2,,
318,出门,chūmén,to go out,2,,
319,出去,chūqù,to go out,2,,
320,床,chuáng,bed,2,,
321,词,cí,word; term,2,,
322,次,cì,measure word of time or occasion; (next in order),2,,
323,从,cóng,from; (ever),2,,
324,从小,cóngxǐao,from childhood,2,,
325,错,cuò,wrong; mistaken,2,,
326,打,dǎ,to hit; to play; to make,2,,
327,打车,dǎchē,to take a taxi,2,,
328,打开,dǎkāi,to open,2,,
329,但,dàn,but; however; (only; merely),2,,
330,但是,dànshì,but; however,2,,
331,得,de,particle indicating degree or manner,2,,
332,地,de,particle modifying an adjective into an adverb,2,,
333,等,děng,to wait; (and so on; until),2,,
334,地铁,dìtiě,subway; metro,2,,
335,点,diǎn,to light; to ignite; (point; dot; to order),2,,
336,懂,dǒng,to understand,2,,
337,动,dòng,to move; to act,2,,
338,饭馆,fànguǎn,restaurant,2,,
339,飞,fēi,to fly,2,,
340,高,gāo,tall; high; height,2,,
341,高中,gāozhōng,high school,2,,
342,告诉,gàosu,to tell,2,,
343,个子,gèzi,height; stature,2,,
344,跟,gēn,with; and; (heel; to follow; to accompany),2,,
345,公交车,gōngjiāochē,bus,2,,
346,过,guò,to pass; to cross; excessive,2,,
347,过来,guòlái,to come over,2,,
348,过年,guònián,to celebrate the New Year,2,,
349,过去,guòqù,to go over,2,,
350,过,guo,particle indicating past experience,2,,
351,还是,háishi,still; or,2,,
352,黑色,hēisè,black,2,,
353,红茶,hóngchá,black tea,2,,
354,红色,hóngsè,red,2,,
355,后面,hòumiàn,behind; back,2,,
356,花,huā,to spend (money or time),2,,
357,花,huā,flower; (colorful),2,,
358,画,huà,to draw; to paint; painting; picture,2,,
359,坏,huài,bad; broken,2,,
360,回来,huílái,to come back,2,,
361,回去,huíqù,to go back,2,,
362,机场,jīchǎng,airport,2,,
363,机票,jīpiào,airplane ticket,2,,
364,记得,jìde,to remember,2,,
365,间,jiān,measure word for rooms; between,2,,
366,教,jiāo,to teach,2,,
367,教室,jiàoshì,classroom,2,,
368,介绍,jièshào,to introduce,2,,
369,进,jìn,to enter,2,,
370,近,jìn,near; close,2,,
371,进来,jìnlái,to come in,2,,
372,进去,jìnqù,to go in,2,,
373,经常,jīngcháng,often,2,,
374,酒店,jiǔdiàn,hotel,2,,
375,就,jiù,just; then; (as early as; only; as soon as),2,,
376,咖啡,kāfēi,coffee,2,,
377,开始,kāishǐ,to start; beginning,2,,
378,开学,kāixué,school starts,2,,
379,考,kǎo,to test; to take an exam,2,,
380,考试,kǎoshì,to take an exam; exam,2,,
381,可能,kěnéng,possible; possibility; may,2,,
382,裤子,kùzi,pants,2,,
383,快,kuài,fast; soon; quickly,2,,
384,快乐,kuàilè,happy; joyful,2,,
385,快要,kuàiyào,soon; almost,2,,
386,篮球,lánqiú,basketball,2,,
387,累,lèi,tired; to tire,2,,
388,离,lí,to leave; to be away from,2,,
389,里面,lǐmiàn,inside,2,,
390,楼,lóu,building; floor,2,,
391,路,lù,road; path,2,,
392,路上,lùshang,on the road,2,,
393,旅游,lǚyóu,to travel,2,,
394,绿茶,lǜchá,green tea,2,,
395,绿色,lǜsè,green color; (green),2,,
396,慢,màn,slow,2,,
397,没意思,méi yìsi,boring; uninteresting,2,,
398,每,měi,every; each; (per),2,,
399,门,mén,door; gate,2,,
400,门口,ménkǒu,doorway; entrance,2,,
401,门票,ménpiào,ticket,2,,
402,面,miàn,suffix indicating a person with a certain characteristic; (to face; side; aspect; measure word for flat objects),2,,
403,名,míng,name; reputation; measure word for people,2,,
404,拿,ná,to take; to hold,2,,
405,那么,nàme,so; like that; then,2,,
406,那样,nàyàng,like that,2,,
407,奶茶,nǎichá,milk tea,2,,
408,奶奶,nǎinai,grandmother,2,,
409,男孩儿,nánháir,boy,2,,
410,鸟,niǎo,bird,2,,
411,女孩儿,nǚháir,girl,2,,
412,旁边,pángbiān,side,2,,
413,跑,pǎo,to run,2,,
414,跑步,pǎobù,to run; jogging,2,,
415,票,piào,ticket,2,,
416,妻子,qīzi,wife,2,,
417,起来,qǐlái,to get up; to stand up; used after verbs to indicate upward movement or beginning,2,,
418,前面,qiánmiàn,front,2,,
419,晴,qíng,sunny; clear,2,,
420,球,qiú,ball; sphere,2,,
421,让,ràng,to let; to allow; (by),2,,
422,肉,ròu,meat,2,,
423,商场,shāngchǎng,shopping mall,2,,
424,上来,shànglái,to come up,2,,
425,上面,shàngmiàn,above; top,2,,
426,上去,shàngqù,to go up,2,,
427,上网,shàngwǎng,to go online; to surf the Internet,2,,
428,身体,shēntǐ,body,2,,
429,生日,shēngrì,birthday,2,,
430,时,shí,time; moment; (season; period),2,,
431,事情,shìqing,matter; affair,2,,
432,手,shǒu,hand,2,,
433,手表,shǒubiǎo,watch; wristwatch,2,,
434,书包,shūbāo,backpack; schoolbag,2,,
435,舒服,shūfu,comfortable,2,,
436,送,sòng,to give; to send; to see off,2,,
437,虽然,suīrán,although,2,,
438,所以,suǒyǐ,so; therefore,2,,
439,疼,téng,painful; sore; (to hurt),2,,
440,踢,tī,to kick,2,,
441,题,tí,question; problem; topic,2,,
442,条,tiáo,measure word for long; thin; or strip-like objects; (clause; item),2,,
443,跳舞,tiàowǔ,to dance,2,,
444,头,tóu,head; (measure word for animals); (first),2,,
445,外国,wàiguó,foreign country,2,,
446,外面,wàimiàn,outside,2,,
447,完,wán,to finish,2,,
448,万,wàn,ten thousand,2,,
449,往,wǎng,to go; toward,2,,
450,网上,wǎngshang,online,2,,
451,忘,wàng,to forget,2,,
452,位,wèi,measure word for people,2,,
453,为什么,wèi shénme,why,2,,
454,希望,xīwàng,to hope,2,,
455,洗,xǐ,to wash,2,,
456,洗手间,xǐshǒujiān,restroom; toilet,2,,
457,下来,xiàlái,to come down,2,,
458,下面,xiàmiàn,below; under,2,,
459,下去,xiàqù,to go down,2,,
460,小孩儿,xiǎoháir,child; little kid,2,,
461,小时候,xiǎoshíhou,childhood,2,,
462,笑,xiào,to laugh; to smile,2,,
463,姓,xìng,surname; to be surnamed,2,,
464,姓名,xìngmíng,full name,2,,
465,颜色,yánsè,color,2,,
466,眼睛,yǎnjing,eye,2,,
467,药,yào,medicine; drug,2,,
468,药店,yàodiàn,pharmacy,2,,
469,爷爷,yéye,grandfather,2,,
470,一会儿,yíhuìr,a while; a moment; (soon; in a little while),2,,
471,已经,yǐjīng,already,2,,
472,一起,yìqǐ,together,2,,
473,意思,yìsi,meaning; idea,2,,
474,阴,yīn,cloudy,2,,
475,因为,yīnwèi,because; because of,2,,
476,游,yóu,to swim,2,,
477,游泳,yóuyǒng,to swim,2,,
478,有意思,yǒu yìsi,interesting; enjoyable,2,,
479,有时,yǒushí,sometimes,2,,
480,右,yòu,right,2,,
481,右边,yòubian,right side,2,,
482,鱼,yú,fish,2,,
483,运动,yùndòng,to move; to exercise; sports; exercise,2,,
484,站,zhàn,station; stop; to stand,2,,
485,丈夫,zhàngfu,husband,2,,
486,这么,zhème,so; such; like this,2,,
487,这样,zhèyàng,like this; so,2,,
488,着,zhe,particle indicating ongoing action or state,2,,
489,正,zhèng,just; exactly; right; (straight),2,,
490,周,zhōu,week; (measure word for circumference; cycle),2,,
491,准备,zhǔnbèi,to prepare,2,,
492,自己,zìjǐ,oneself,2,,
493,走,zǒu,to walk,2,,
494,走路,zǒulù,to walk,2,,
495,足球,zúqiú,soccer; football,2,,
496,最,zuì,most; -est,2,,
497,左,zuǒ,left,2,,
498,左边,zuǒbian,left side,2,,
499,阿姨,āyí,aunt,3,,
500,矮,ǎi,short,3,,
501,爱人,àiren,spouse,3,,
502,安静,ānjìng,quiet,3,,
503,安全,ānquán,safe,3,,
504,把,bǎ,measure word for objects with handles; particle for object-fronting,3,,
505,搬,bān,to move; to carry,3,,
506,班级,bānjí,class; grade,3,,
507,搬家,bānjiā,to move house,3,,
508,办,bàn,to do; to handle,3,,
509,办法,bànfǎ,way; solution,3,,
510,办公室,bàngōngshì,office,3,,
511,半天,bàntiān,half a day; a long time,3,,
512,帮助,bāngzhù,help,3,,
513,饱,bǎo,full,3,,
514,报纸,bàozhǐ,newspaper,3,,
515,北,běi,north,3,,
516,北方,běifāng,north,3,,
517,被,bèi,by,3,,
518,笔记,bǐjì,notes,3,,
519,比较,bǐjiào,to compare; quite; relatively; than,3,,
520,笔记本,bǐjìběn,notebook,3,,
521,比如,bǐrú,for example,3,,
522,比赛,bǐsài,to compete; game; match,3,,
523,必须,bìxū,must,3,,
524,变,biàn,to change; to become,3,,
525,遍,biàn,measure word for actions,3,,
526,变成,biànchéng,to become; to turn into,3,,
527,变化,biànhuà,to change; change,3,,
528,表演,biǎoyǎn,to perform; to act,3,,
529,别的,biéde,other,3,,
530,别人,biérén,other people,3,,
531,宾馆,bīnguǎn,hotel,3,,
532,冰,bīng,ice; (to freeze),3,,
533,冰激凌,bīngjīlíng,ice cream,3,,
534,冰箱,bīngxiāng,refrigerator,3,,
535,病人,bìngrén,patient,3,,
536,不但,búdàn,not only,3,,
537,不见,bújiàn,to disappear; to not see,3,,
538,不用,búyòng,need not,3,,
539,不同,bù tóng,different,3,,
540,不久,bùjiǔ,soon; not long after,3,,
541,不行,bùxíng,not allowed; won’t do; not good,3,,
542,才,cái,just; only,3,,
543,菜单,càidān,menu,3,,
544,参加,cānjiā,to join; to attend,3,,
545,草,cǎo,grass,3,,
546,草地,cǎodì,grassland,3,,
547,层,céng,measure word for layer; floor,3,,
548,查,chá,to check,3,,
549,差,chà,bad; poor; to lack,3,,
550,差不多,chàbuduō,almost; similar; nearly,3,,
551,尝,cháng,to taste,3,,
552,常,cháng,often; frequent,3,,
553,常见,cháng jiàn,common,3,,
554,常用,cháng yòng,commonly used,3,,
555,常常,chángcháng,often,3,,
556,衬衫,chènshān,shirt,3,,
557,成绩,chéngjì,score; grade; achievement,3,,
558,城市,chéngshì,city,3,,
559,迟到,chídào,to be late,3,,
560,出发,chūfā,to set out; to leave,3,,
561,出生,chūshēng,to be born,3,,
562,出院,chūyuàn,to be discharged from hospital,3,,
563,初中,chūzhōng,junior high school,3,,
564,除了,chúle,except; besides,3,,
565,船,chuán,boat,3,,
566,春天,chūntiān,spring,3,,
567,词典,cídiǎn,dictionary,3,,
568,聪明,cōngmíng,smart; clever,3,,
569,打扫,dǎsǎo,to clean,3,,
570,打算,dǎsuàn,to plan; intend; plan,3,,
571,大概,dàgài,general; rough; probably; approximately; (general idea),3,,
572,大人,dàren,adult,3,,
573,大小,dàxiǎo,size,3,,
574,大熊猫,dàxióngmāo,giant panda,3,,
575,大衣,dàyī,coat,3,,
576,带,dài,to bring; to take; (belt),3,,
577,担心,dānxīn,to worry,3,,
578,蛋糕,dàngāo,cake,3,,
579,当然,dāngrán,of course,3,,
580,到处,dàochù,everywhere,3,,
581,得,dé,to get; to obtain,3,,
582,得到,dédào,to get; to obtain,3,,
583,得分,défēn,to score; score,3,,
584,的话,dehuà,particle used after a condition clause; if…,3,,
585,得,děi,must; need,3,,
586,灯,dēng,lamp; light,3,,
587,地,dì,ground; earth; land,3,,
588,地点,dìdiǎn,place; location,3,,
589,地方,dìfang,place,3,,
590,地图,dìtú,map,3,,
591,电,diàn,electricity; (to give an electric shock),3,,
592,电梯,diàntī,elevator,3,,
593,电子书,diànzǐshū,e-book,3,,
594,丢,diū,to lose; to throw away,3,,
595,东,dōng,east,3,,
596,东北,dōngběi,northeast,3,,
597,东方,dōngfāng,east,3,,
598,东南,dōngnán,southeast,3,,
599,冬天,dōngtiān,winter,3,,
600,懂得,dǒngde,to understand,3,,
601,动物,dòngwù,animal,3,,
602,动物园,dòngwùyuán,zoo,3,,
603,短,duǎn,short,3,,
604,短裤,duǎnkù,shorts,3,,
605,段,duàn,measure word of segment; paragraph,3,,
606,锻炼,duànliàn,to exercise,3,,
607,对话,duìhuà,dialogue; conversation,3,,
608,饿,è,hungry,3,,
609,而且,érqiě,and; moreover,3,,
610,耳朵,ěrduo,ear,3,,
611,耳机,ěrjī,earphone,3,,
612,发,fā,to send; to issue,3,,
613,发烧,fāshāo,to have a fever,3,,
614,发生,fāshēng,to happen,3,,
615,发现,fāxiàn,to find; to discover,3,,
616,发展,fāzhǎn,to develop,3,,
617,方便,fāngbiàn,convenient,3,,
618,方便面,fāngbiànmiàn,instant noodles,3,,
619,方法,fāngfǎ,method,3,,
620,方向,fāngxiàng,direction,3,,
621,房子,fángzi,house,3,,
622,放,fàng,to put; to place,3,,
623,放假,fàngjià,to have a holiday,3,,
624,放心,fàngxīn,to relax; to feel at ease,3,,
625,放学,fàngxué,school is over,3,,
626,分开,fēnkāi,to separate,3,,
627,风,fēng,wind,3,,
628,封,fēng,measure word for letters; (to seal),3,,
629,夫妻,fūqī,husband and wife,3,,
630,服务,fúwù,to serve,3,,
631,附近,fùjìn,nearby,3,,
632,复习,fùxí,to review,3,,
633,该,gāi,should,3,,
634,干净,gānjìng,clean,3,,
635,感兴趣,gǎn xìngqù,to be interested in,3,,
636,感到,gǎndào,to feel,3,,
637,感冒,gǎnmào,cold; to catch a cold,3,,
638,干,gàn,to do; to work,3,,
639,刚,gāng,just; just now,3,,
640,刚才,gāngcái,just now,3,,
641,刚刚,gānggāng,just now; a moment ago,3,,
642,高铁,gāotiě,high-speed rail,3,,
643,根据,gēnjù,to base on; according to; (basis),3,,
644,更,gèng,more,3,,
645,公斤,gōngjīn,kilogram,3,,
646,公园,gōngyuán,park,3,,
647,工作日,gōngzuòrì,workday,3,,
648,故事,gùshi,story,3,,
649,刮,guā,to scrape; to blow,3,,
650,关,guān,to close; to turn off; pass,3,,
651,关机,guānjī,to turn off device,3,,
652,关系,guānxì,relationship; (to relate),3,,
653,关心,guānxīn,to care about; to be concerned,3,,
654,关于,guānyú,about; regarding,3,,
655,关注,guānzhù,to pay attention to; to follow,3,,
656,国家,guójiā,country,3,,
657,过节,guòjié,to celebrate a festival,3,,
658,过去,guòqù,past,3,,
659,海,hǎi,sea,3,,
660,害怕,hàipà,to be afraid,3,,
661,好多,hǎoduō,many; a lot,3,,
662,好久,hǎojiǔ,a long time,3,,
663,好像,hǎoxiàng,to seem; as if; perhaps,3,,
664,号码,hàomǎ,number; code,3,,
665,河,hé,river,3,,
666,合适,héshì,suitable,3,,
667,黑板,hēibǎn,blackboard,3,,
668,红绿灯,hóng-lǜdēng,traffic light,3,,
669,后来,hòulái,later; afterwards,3,,
670,后年,hòunián,the year after next,3,,
671,后天,hòutiān,the day after tomorrow,3,,
672,护照,hùzhào,passport,3,,
673,花园,huāyuán,garden,3,,
674,画家,huàjiā,painter; artist,3,,
675,欢迎,huānyíng,to welcome,3,,
676,还,huán,to return; to give back,3,,
677,环境,huánjìng,environment,3,,
678,换,huàn,to exchange; to change,3,,
679,黄色,huángsè,yellow,3,,
680,回答,huídá,to answer,3,,
681,会,huì,meeting,3,,
682,会议,huìyì,meeting,3,,
683,或,huò,or; (perhaps; maybe),3,,
684,或者,huòzhě,or,3,,
685,鸡,jī,chicken,3,,
686,几乎,jīhū,almost,3,,
687,机会,jīhuì,opportunity,3,,
688,极,jí,extremely,3,,
689,急,jí,urgent; (to worry),3,,
690,记,jì,to remember,3,,
691,季,jì,season,3,,
692,季节,jìjié,season,3,,
693,加,jiā,to add,3,,
694,假期,jiàqī,vacation,3,,
695,坚持,jiānchí,to persist,3,,
696,检查,jiǎnchá,to check; to inspect,3,,
697,简单,jiǎndān,simple,3,,
698,检票,jiǎnpiào,ticket checking,3,,
699,健康,jiànkāng,healthy,3,,
